Alameda County,2,94560
Los Angeles County,13,90069
San Diego County,9,92121
San Diego County,123,92081
San Diego County,37,92121
Los Angeles County,37,90731
Los Angeles County,80,90021
San Mateo County,229,94402
San Mateo County,368,94025
Santa Clara County,62,94304
San Diego County,25,92110
San Diego County,68,92135
San Diego County,77,92121
Alameda County,20,94538
Alameda County,5,94538
Alameda County,2,94538
Alameda County,1,94538
Alameda County,41,94538
Kern County,4,93308
Los Angeles County,211,90670
Los Angeles County,10,90232
Los Angeles County,1,91773
San Mateo County,94,94080
Orange County,9,92841
Orange County,6,92691
Sacramento County,18,95817
Los Angeles County,76,91402
Los Angeles County,1,91307
Stanislaus County,27,95356
Los Angeles County,2,91201
Los Angeles County,54,91103
Los Angeles County,105,90047
Los Angeles County,71,91340
Santa Clara County,125,94303
Riverside County,55,92590
Los Angeles County,176,90248
Orange County,58,92618
Sacramento County,180,95630
Alameda County,142,94621
San Bernardino County,153,92336
Alameda County,12,94588
San Mateo County,27,94063
San Mateo County,51,94063
San Diego County,69,92108
Los Angeles County,104,90023
San Diego County,19,92111
Santa Barbara County,80,93013
Solano County,99,95687
Solano County,60,94533
Solano County,4,94534
Solano County,26,94534
Ventura County,30,91362
Ventura County,2,91361
San Mateo County,66,94080
Orange County,85,92865
San Diego County,58,92173
San Francisco County,80,94107
San Joaquin County,55,95376
Santa Clara County,14,95126
Los Angeles County,90,90249
Santa Clara County,331,95133
Placer County,52,95661
Orange County,9,92626
San Bernardino County,78,92324
Orange County,48,92618
San Francisco County,50,94124
San Francisco County,736,94103
Alameda County,74,94608
San Mateo County,25,94002
San Mateo County,25,94002
Santa Clara County,225,95050
Riverside County,136,92507
San Francisco County,82,94124
Solano County,28,95688
San Mateo County,57,94065
Los Angeles County,133,90036
San Mateo County,146,94025
Tulare County,68,93274
Santa Clara County,111,94304
Santa Clara County,77,94304
Santa Clara County,20,94304
Orange County,25,92618
Orange County,21,92780
Orange County,86,92606
Orange County,9,92614
Orange County,2,92618
San Diego County,73,92104
Orange County,33,92805
San Diego County,57,92110
San Diego County,16,92110
San Diego County,3,92104
San Diego County,15,92024
Los Angeles County,64,91770
Orange County,100,92647
San Bernardino County,193,91761
San Francisco County,15,94124
San Francisco County,65,94134
San Francisco County,66,94107
Riverside County,111,92504
Riverside County,30,92504
Riverside County,31,92504
San Bernardino County,109,92337
Orange County,5,92807
Los Angeles County,100,90813
San Francisco County,54,94103
Los Angeles County,77,90602
Alameda County,52,94607
Orange County,305,92618
Sacramento County,81,95815
San Diego County,53,92102
Los Angeles County,33,90745
Amador County,145,95685
San Mateo County,14,94080
Santa Clara County,47,95054
Orange County,16,92656
Ventura County,55,91320
Ventura County,8,91320
Marin County,578,94903
Fresno County,111,93721
Stanislaus County,51,95354
Stanislaus County,35,95354
San Bernardino County,74,91739
San Mateo County,51,94080
Alameda County,80,94608
San Diego County,100,92121
Los Angeles County,96,91010
Los Angeles County, LLC,Plaza
Los Angeles County,91,91745
Santa Barbara County,56,93458
Los Angeles County,401,90405
Riverside County,375,92590
Santa Clara County,44,94306
Orange County,51,92708
San Francisco County,40,94109
Kern County,9,93311
Los Angeles County,17,93550
Los Angeles County,5,93550
San Mateo County,132,94402
San Bernardino County,66,91761
Los Angeles County,69,90404
San Benito County,48,95045
Los Angeles County,33,90501
Alameda County,5,94541
Santa Clara County,26,95035
Stanislaus County,13,95354
Los Angeles County,50,90280
San Diego County,104,92123
Santa Clara County,1,94043
Santa Clara County,2,94043
Santa Clara County,2,94043
Santa Clara County,5,94043
Santa Clara County,2,94043
Santa Clara County,1,94043
Santa Clara County,4,94043
Santa Clara County,4,94043
Santa Clara County,3,94043
Santa Clara County,8,94043
Santa Clara County,1,94043
Santa Clara County,2,94043
Santa Clara County,1,94043
Santa Clara County,3,94043
Santa Clara County,1,94043
Santa Clara County,1,94043
San Diego County,92,92121
San Diego County,169,92121
Orange County,99,92612
San Diego County,10,92020
San Francisco County,69,94133
Kern County,115,93308
Los Angeles County,109,91773
Los Angeles County,113,90810
Glenn County,13,95963
San Mateo County,1,94063
San Diego County,137,92056
San Diego County,73,91914
San Francisco County,108,94105
Contra Costa County,49,94806
Sacramento County,49,95838
San Joaquin County,41,95337
Santa Clara County,66,95112
San Francisco County, Inc.,ornia
Santa Clara County,88,95131
Los Angeles County,79,90502
San Mateo County,49,94065
San Francisco County,104,94105
San Francisco County,7,94105
Fresno County,15,93612
Santa Clara County,18,94303
Santa Clara County,69,94303
Santa Clara County,11,94043
Santa Clara County,2,94043
Sacramento County,72,95834
Alameda County,51,94560
Orange County,353,92801
San Mateo County,46,94025
Kern County,905,93313
San Francisco County,63,94107
Tulare County,308,93274
Los Angeles County, LLC,Plaza
Riverside County, Inc.,92878
San Diego County,70,92135
Los Angeles County,21,90670
Los Angeles County,28,90601
San Mateo County,201,94065
San Francisco County,49,94111
Yolo County, Inc.,95695
San Diego County,44,92101
Los Angeles County,6,90059
Marin County,62,94901
Marin County,32,94949
Contra Costa County,611,94801
San Bernardino County,94,91739
Placer County,108,95661
San Bernardino County,168,92376
Orange County,27,92646
Orange County,27,92705
Alameda County,144,94560
Sacramento County,98,95822
San Francisco County,31,94124
Los Angeles County,103,91201
Los Angeles County,56,90230
Orange County,73,92618
Santa Clara County,484,95119
Alameda County,110,94608
San Diego County,127,92154
Alameda County,549,94538
Alameda County,123,94551
Alameda County,52,94551
Los Angeles County,170,90810
Orange County,109,92656
San Diego County,61,92122
San Joaquin County,83,95337
Solano County,51,94510
Los Angeles County,20,91101
