11620,Los Angeles County
9912,Santa Clara County
8640,San Francisco County
7805,San Diego County
5471,Alameda County
5381,San Mateo County
4998,Orange County
3350,San Bernardino County
2296,Sacramento County
1881,Riverside County
1166,Ventura County
1158,Kern County
844,Madera County
830,Marin County
817,Contra Costa County
771,San Joaquin County
760,San Benito County
422,Merced County
377,Tulare County
355,Sonoma County
310,Santa Barbara County
307,Fresno County
292,Report Summary
271,Placer County
270,Solano County
233,Stanislaus County
210,Yolo County
206,Napa County
184,San Luis Obispo County
145,Amador County
126,El Dorado County
112,Imperial County
51,Plumas County
48,Monterey County
27,Mendocino County
16,Shasta County
13,Glenn County
9,Santa Cruz County
1,Cook County
0,Total
